test_no,test_date,test_family,impact_direction,load_cell_classification_id,source_vehicle_id,source_vehicle_no,participant_kind,participant_kind_source,vin,make,model,model_year,body_type,engine_type,engine_displacement_l,transmission,vehicle_speed_kph,vehicle_test_weight_kg,curb_weight_kg,vehicle_length_mm,vehicle_width_mm,wheelbase_mm,vax_crush_distance_mm,vehicle_cg_mm,vehicle_orientation_deg,source_row_hash
7583,2011-12-19,side,side,side_pole_load_cell_8,402,1,subject_vehicle,single_vehicle_inferred_subject,KNDPB3A2XC7215312,KIA,SPORTAGE,2012,UTILITY VEHICLE,4 CYLINDER INLINE FRONT,2.4,AUTOMATIC - FRONT WHEEL DRIVE,32.4,1577.0,1461.0,4446.0,1799.0,2640.0,368.0,1147.0,0.0,8978c06cf2dfd6e8c154381ff5be507316a81d9cd08775bc50fe9d6d45f85ff6
7584,2011-12-20,side,side,side_pole_load_cell_8,403,1,subject_vehicle,single_vehicle_inferred_subject,1GC1CXCG0CF104003,CHEVROLET,SILVERADO2500,2012,4 DOOR PICKUP,V8 INLINE FRONT,6.0,AUTOMATIC - REAR WHEEL DRIVE,32.0,3068.0,2887.0,6105.0,2004.0,3915.0,447.0,1843.0,0.0,24cee20681f14599d65603e9e56d08485f7219f7d3772e66e3cca2e290b02cd2
7590,2011-12-22,side,side,side_pole_load_cell_8,412,1,subject_vehicle,single_vehicle_inferred_subject,2C3CCAAG0CH104742,CHRYSLER,300,2012,FOUR DOOR SEDAN,V6 INLINE FRONT,3.6,AUTOMATIC - REAR WHEEL DRIVE,32.0,1908.0,1811.0,5050.0,1876.0,3052.0,356.0,1513.0,0.0,abe26991cdeea0e0ef6bf573c5954dfe066681d7e8c95ef789e7249f24d28e9d
7591,2011-12-22,side,side,side_pole_load_cell_8,413,1,subject_vehicle,single_vehicle_inferred_subject,5TFEM5F17CX036383,TOYOTA,TUNDRA,2012,4 DOOR PICKUP,V8 INLINE FRONT,4.6,AUTOMATIC - REAR WHEEL DRIVE,31.5,2647.0,2469.0,5816.0,2037.0,3706.0,454.0,1741.0,0.0,73395e9bc9957dc518e8e861d928a775632855a18539459ddae41c0e3cc12f63
7600,2012-01-03,side,side,side_pole_load_cell_8,419,1,subject_vehicle,single_vehicle_inferred_subject,JTDKTUD35CD503712,TOYOTA,YARIS,2012,FIVE DOOR HATCHBACK,4 CYLINDER TRANSVERSE FRONT,1.5,AUTOMATIC - FRONT WHEEL DRIVE,32.83,1170.0,1094.0,3739.0,1693.0,2512.0,349.0,985.0,0.0,8e1af4670ce459f44331cf7f0189d56aba235c31201c38a39b00087a35b43e2b
7601,2012-01-04,side,side,side_pole_load_cell_8,421,1,subject_vehicle,single_vehicle_inferred_subject,2C3CDXBG5CH103682,DODGE,CHARGER,2012,FOUR DOOR SEDAN,V6 INLINE FRONT,3.6,AUTOMATIC - REAR WHEEL DRIVE,32.0,1899.0,1802.0,5080.0,1891.0,3053.0,370.0,1525.0,0.0,8743dd653a91bb1f48602de1272da2169c7f5f6c843631981ad050417ad53597
7603,2012-01-04,side,side,side_pole_load_cell_8,424,1,subject_vehicle,single_vehicle_inferred_subject,3VWJX7AT1CM612661,VOLKSWAGEN,BEETLE,2012,TWO DOOR COUPE,4 CYLINDER TRANSVERSE FRONT,2.5,AUTOMATIC - FRONT WHEEL DRIVE,32.3,1518.0,1377.0,4270.0,1800.0,2540.0,312.0,999.0,75.0,bea5ab94acf2b1a9632ee5e0cbc53bed9e97cd8f3a1958bc75c67205e16d9eea
7610,2012-01-09,side,side,side_pole_load_cell_8,430,1,subject_vehicle,single_vehicle_inferred_subject,JS2YC5A36C6300360,SUZUKI,SX4,2012,FOUR DOOR SEDAN,4 CYLINDER TRANSVERSE FRONT,2.0,MANUAL - FRONT WHEEL DRIVE,32.1,1348.0,1258.0,4488.0,1706.0,2506.0,348.0,1076.0,0.0,9ad991f6af16127a04a1afef25505c9dbfc33aff4c1d4691bc76fd66963a456e
7621,2012-01-13,side,side,side_pole_load_cell_8,444,1,subject_vehicle,single_vehicle_inferred_subject,2HNYD2H2XCH501075,ACURA,MDX,2012,UTILITY VEHICLE,V6 TRANSVERSE FRONT,3.7,AUTOMATIC - FOUR WHEEL DRIVE,32.0,2168.0,2086.0,4863.0,1972.0,2750.0,507.0,1249.0,0.0,eed5d8ca221b3f041e8692b832c78f4856b0a3af5845685d50b3cd81be1726f7
7630,2012-01-20,side,side,side_pole_load_cell_8,455,1,subject_vehicle,single_vehicle_inferred_subject,JN8AF5MR5CT102913,NISSAN,JUKE,2012,UTILITY VEHICLE,4 CYLINDER TRANSVERSE FRONT,1.6,AUTOMATIC - FRONT WHEEL DRIVE,32.0,1448.0,1352.0,4124.0,1728.0,2535.0,412.0,990.0,0.0,783972e2fd94e62c61890b95bb43da0e1ee2f8b1b6ae97a5066225565ac06f78
