test_id,test_no,vehicle_id,impact_family,vehicle_role,damage_face,profile_axis,crush_axis,point_index,dpd_value_mm,s_local_mm,s_vehicle_mm,s_norm,lencnt_mm,damdst_mm,quality_tier,source
20,7353,28,side_impactor,subject_vehicle,side_unknown,X,Y,5,29.0,1080.0,1396.0,0.3,3600.0,316.0,A_ProfileValid,raw_json_with_canonical_fallback
20,7353,28,side_impactor,subject_vehicle,side_unknown,X,Y,6,-2.0,1800.0,2116.0,0.5,3600.0,316.0,A_ProfileValid,raw_json_with_canonical_fallback
24,7354,33,side,subject_vehicle,side_unknown,X,Y,1,0.0,-1500.0,-1425.0,-0.5,3000.0,75.0,C_MaxOnly,raw_json_with_canonical_fallback
24,7354,33,side,subject_vehicle,side_unknown,X,Y,2,0.0,-900.0,-825.0,-0.3,3000.0,75.0,C_MaxOnly,raw_json_with_canonical_fallback
24,7354,33,side,subject_vehicle,side_unknown,X,Y,3,0.0,-300.0,-225.0,-0.1,3000.0,75.0,C_MaxOnly,raw_json_with_canonical_fallback
24,7354,33,side,subject_vehicle,side_unknown,X,Y,4,0.0,300.0,375.0,0.1,3000.0,75.0,C_MaxOnly,raw_json_with_canonical_fallback
24,7354,33,side,subject_vehicle,side_unknown,X,Y,5,0.0,900.0,975.0,0.3,3000.0,75.0,C_MaxOnly,raw_json_with_canonical_fallback
24,7354,33,side,subject_vehicle,side_unknown,X,Y,6,0.0,1500.0,1575.0,0.5,3000.0,75.0,C_MaxOnly,raw_json_with_canonical_fallback
25,7355,35,side_impactor,subject_vehicle,side_unknown,X,Y,1,40.0,-1500.0,-1555.0,-0.5,3000.0,-55.0,A_ProfileValid,raw_json_with_canonical_fallback
25,7355,35,side_impactor,subject_vehicle,side_unknown,X,Y,2,50.0,-900.0,-955.0,-0.3,3000.0,-55.0,A_ProfileValid,raw_json_with_canonical_fallback
25,7355,35,side_impactor,subject_vehicle,side_unknown,X,Y,3,301.0,-300.0,-355.0,-0.1,3000.0,-55.0,A_ProfileValid,raw_json_with_canonical_fallback
25,7355,35,side_impactor,subject_vehicle,side_unknown,X,Y,4,254.0,300.0,245.0,0.1,3000.0,-55.0,A_ProfileValid,raw_json_with_canonical_fallback
