test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,flag_all_zero_placeholder,flag_not_subject_vehicle,flag_dpd_all_zero,flag_crhdst_missing_or_zero,flag_vdi_unusable,flag_lencnt_missing,flag_damdst_missing,flag_lencnt_out_of_range,flag_damdst_out_of_range,flag_crhdst_lt_dpdmax,flag_pdof_family_mismatch,flag_side_imppnt_mismatch,flag_axbx_all_missing,flag_axbx_no_delta,flag_rear_low_confidence,flag_dpd_negative,flag_negative_dpd_present,flag_cmean_negative,flag_not_target_family,exclusion_reason
3550,14363,4248,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3546,14365,4243,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3561,14383,4264,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3542,14388,4237,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3554,14390,4254,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3559,14391,4261,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3564,14392,4268,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3571,14393,4277,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3587,14398,4297,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3594,14428,4307,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3603,14435,4319,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3555,14436,4256,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3619,14440,4339,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3569,14446,4274,1,rear,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,not_subject_vehicle
3569,14446,4275,2,rear,subject_vehicle,X_Exclude,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,all_zero_placeholder
3541,14447,4235,1,rear,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,not_subject_vehicle
3541,14447,4236,2,rear,subject_vehicle,X_Exclude,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,all_zero_placeholder
3538,14448,4230,1,rear,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,not_subject_vehicle
3538,14448,4231,2,rear,subject_vehicle,X_Exclude,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,all_zero_placeholder
3607,14449,4324,1,rear,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,not_subject_vehicle
3607,14449,4325,2,rear,subject_vehicle,X_Exclude,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,all_zero_placeholder
3578,14451,4286,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3470,14452,4138,1,rear,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,not_subject_vehicle
3470,14452,4139,2,rear,subject_vehicle,X_Exclude,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,all_zero_placeholder
2917,14453,3468,1,rear,subject_vehicle,X_Exclude,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,all_zero_placeholder
2917,14453,3469,2,rear,subject_vehicle,X_Exclude,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,all_zero_placeholder
3581,14459,4290,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3608,14463,4326,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3573,14464,4280,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3613,14465,4332,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3644,14467,4370,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3624,14471,4345,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3588,14472,4299,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3565,14475,4270,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3583,14476,4293,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3656,14477,4385,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3649,14478,4376,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3648,14479,4375,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3658,14480,4387,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3667,14482,4398,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3679,14485,4412,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3685,14488,4419,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3700,14491,4436,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
