test_no,model_year,make,model,body_style,crash_type,crash_type_rule,test_config_code,test_config_label,impact_speed_value,impact_speed_unit,load_cell_barrier_family,load_cell_barrier_classification_id,load_cell_barrier_config_version,test_weight_kg,curb_weight_kg,length_mm,width_mm,wheelbase_mm,vax_crush_distance_mm
7600,2012,TOYOTA,YARIS,FIVE DOOR HATCHBACK,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.83,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1170.0,1094.0,3739.0,1693.0,2512.0,349.0
7601,2012,DODGE,CHARGER,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1899.0,1802.0,5080.0,1891.0,3053.0,370.0
7603,2012,VOLKSWAGEN,BEETLE,TWO DOOR COUPE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.3,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1518.0,1377.0,4270.0,1800.0,2540.0,312.0
7610,2012,SUZUKI,SX4,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.1,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1348.0,1258.0,4488.0,1706.0,2506.0,348.0
7621,2012,ACURA,MDX,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,2168.0,2086.0,4863.0,1972.0,2750.0,507.0
7630,2012,NISSAN,JUKE,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1448.0,1352.0,4124.0,1728.0,2535.0,412.0
7634,2012,NISSAN,VERSA,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,31.95,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1191.0,1105.0,4417.0,1690.0,2602.0,427.0
7635,2012,KIA,SOUL,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,31.91,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1354.0,1269.0,4006.0,1776.0,2553.0,434.0
7638,2012,LEXUS,ES 350,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,31.74,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1765.0,1654.0,4870.0,1809.0,2772.0,526.0
7639,2012,FORD,TRANSIT CONNECT,TRUCK,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.54,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1753.0,1580.0,4578.0,1757.0,2913.0,448.0
7649,2012,HONDA,CIVIC,TWO DOOR COUPE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.24,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1307.0,1220.0,4252.0,1752.0,2623.0,360.0
7651,2012,FORD,F250 PICKUP,4 DOOR PICKUP,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.69,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,3154.0,2975.0,6257.0,2024.0,3984.0,699.0
7715,2012,HONDA,CIVIC HYBRID,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1383.0,1292.0,4507.0,1744.0,2670.0,370.0
7718,2012,SUBARU,IMPREZA,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1450.0,1359.0,4580.0,1741.0,2654.0,388.0
7719,2012,HONDA,CR-V,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,31.9,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1591.0,1509.0,4530.0,1820.0,2625.0,460.0
